StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat
Dai2009_wetPyropeGarnet,3,873,1473,4,16,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
Liu2019_wetAlmandineGarnet,1,350,800,1,1,1,30,0,0,0,0,0,0,0,0,4.37,0.24,90000,2000,1.07,0.09,0,0,0,3700
Fullea2011_DryGarnet_param1_Fe,3,1000,1573,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
Dai2012_DryPyrope73Almandine14,0,873,1273,2,2,0,73,0,0,0,0,2.69,0,137000,0,0,0,0,0,0,0,0,0,0,3200
Dai2012_DryPyrope56Almandine43,0,873,1273,2,2,0,73,0,0,0,0,2.773,0,135000,0,0,0,0,0,0,0,0,0,0,3200
Dai2012_DryPyrope30Almandine67,0,873,1273,2,2,0,73,0,0,0,0,2.867,0,134000,0,0,0,0,0,0,0,0,0,0,3200
Dai2012_DryPyrope20Almandine76,0,873,1273,2,2,0,73,0,0,0,0,2.992,0,132000,0,0,0,0,0,0,0,0,0,0,3200
Liu2021_WetAlmandineGarnet_param1_Fe,3,623,1073,1,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
Liu2022_WetAlmandine,1,623,973,1,1,0,73,0,0,0,0,0,0,0,0,4.02,0.11,84000,1000,1.12,0.08,0,0,0,3500
