StudyName,Type,Tmin(K),Tmax(K),Pmin(GPa),Pmax(GPa),WCalib,Mg#,sigma_i(log[S/m]),sigma_i_err,h_i(j/mol),h_i_err,sigma_pol(log[S/m]),sigma_pol_err,h_pol(j/mol),h_pol_err,sigma_p(log[S/m]),sigma_p_err,h_p(j/mol),h_p_err,r,r_err,alpha_p(j/mol),alpha_p_err,wtype,dens_ref,mat_ref,comp_ref,mechanisms,reference
Liu2019_WetOmphacite,1,623,1073,1,1,1,77,0,0,0,0,0,0,0,0,3.51,0.11,82000,1000,1.1,0.04,0,0,0,jd,jd,NaN,proton,Liu2019
Yang2011_WetDiopside,1,523,1273,0.6,1.2,1,72,0,0,0,0,2.16,0.27,102000,5000,3.56,0.1,71000,1000,1.13,0.05,0,0,0,di,di,NaN,polaron+proton,Yang2011_WetDiopside
Yang2012_WetDiopside,1,723,1273,1.2,1.2,0,72,0,0,0,0,1.88,0.1,87000,2000,3.67,0.17,73000,2000,0.94,0.08,0,0,0,di,di,NaN,polaron+proton,Yang2012_WetDiopside
Zhao2016_WetDiopside,3,600,1200,1.5,1.5,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,di,di,NaN,proton,Zhao2016_WetDiopside
Liu2021_WetClinopyroxene_xFe,3,623,973,1,1,1,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,di,di,NaN,proton,Liu2021_WetClinopyroxene_xFe
Liu2022_WetOmphacite,1,623,973,1,1,1,65,0,0,0,0,0,0,0,0,3.36,0.05,71000,1000,1.45,0.04,0,0,0,di,di,NaN,proton,Liu2022
Sun2020_DryDiopside,0,673,973,1,1,0,93,0,0,0,0,2.1,0.1,106000,2000,0,0,0,0,0,0,0,0,0,jd,jd,NaN,polaron,Sun2020_DryDiopside
Fullea2011_DryCpx_xFe,3,1000,1573,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,di,di,NaN,polaron,Fullea2011
Xu1998_DryDiopside,0,1273,1673,13,13,0,91,0,0,0,0,3.25,0.07,187000,2000,0,0,0,0,0,0,0,0,0,di,di,NaN,polaron,Xu1998_DryDiopside
Yang2011_DryDiopside,0,523,1273,0.6,1.2,0,72,0,0,0,0,2.16,0.27,102000,5000,0,0,0,0,0,0,0,0,0,di,di,NaN,polaron,Yang2012_Diopside
Yang2012_DryDiopside,0,723,1273,1.2,1.2,0,72,0,0,0,0,1.88,0.1,87000,2000,0,0,0,0,0,0,0,0,0,di,di,NaN,polaron,Yang2012_Diopside
Yang2012b_DryDiopside,0,773,1273,1.2,1.2,0,72,0,0,0,0,2.02,0.13,90000,2000,0,0,0,0,0,0,0,0,0,di,di,NaN,polaron,Yang2012b_Diopside
