StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_ref,mat_ref,comp_ref,mechanisms,reference
Shimojuku2012_Quartz_FreeFluid4.3e-4wt,0,850,1100,1,1,0,0,0,0,0,0,0.16,0,70000,0,0,0,0,0,0,0,0,0,0,bqz,bqz,NaN,polaron,Shimojuku2012_Quartz
Shimojuku2012_Quartz_FreeFluid0.32wt,0,850,1100,1,1,0,0,0,0,0,0,-0.56,0,25000,0,0,0,0,0,0,0,0,0,0,bqz,bqz,NaN,polaron,Shimojuku2012_Quartz
Han2023_QtzR_940ppmFluid,0,673,1173,0,0,0,0,0,0,0,0,1.63,0,106000,0,0,0,0,0,0,0,0,0,0,aqz,aqz,NaN,polaron,Han2023
Han2021_QtzPAmbientPressure,0,473,1173,0,0,0,0,0,0,0,0,0.0791812,0,89600,0,0,0,0,0,0,0,0,0,0,aqz,aqz,NaN,polaron,Han2021
Han2021_QtzP1GPa1489ppmH2O,0,873,1273,1,1,0,0,0,0,0,0,0.6232,0,96800,0,0,0,0,0,0,0,0,0,0,bqz,bqz,NaN,polaron,Han2021
Han2021_QtzG1GPa1359ppmH2O,0,873,1273,1,1,0,0,0,0,0,0,0.67209,0,118000,0,0,0,0,0,0,0,0,0,0,bqz,bqz,NaN,polaron,Han2021
Wang2010_Z0,0,886,1601,1,1,0,0,0,0,0,0,4.11,0,63000,0,0,0,0,0,0,0,0,0,0,bqz,bqz,NaN,polaron,Wang2010_Quartz
Wang2010_Z49,0,887,1598,1,1,0,0,0,0,0,0,4.57,0,118000,0,0,0,0,0,0,0,0,0,0,bqz,bqz,NaN,polaron,Wang2010_Quartz
Wang2010_Z66,0,887,1409,1,1,0,0,0,0,0,0,4.32,0,127000,0,0,0,0,0,0,0,0,0,0,bqz,bqz,NaN,polaron,Wang2010_Quartz
