Name,SIO2(WT%),TIO2(WT%),AL2O3(WT%),CR2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%)
Alkali-Basalt,47.8443150224994,2.61345384328574,14.9756967339459,0.0371500462054168,11.20821479164,9.75301553605569,7.91685896892937,0.186531844799452,0.0381019299001411,1.450586033222,3.35247642830735,0.623598821209542
Basaltic-Trachyandesite,54.6490378598088,1.61313544505174,16.6460028553111,0.0107257648761046,8.35043470409238,6.74448386185414,4.24560640391869,0.152910983102253,0.0166350691010492,2.85155970551484,4.09160730437063,0.627860042998291
Foidite,42.5173294567676,2.8133426375357,13.9490001267279,0.0936251545968763,11.6212771183336,12.3893416250012,7.78463939037152,0.230852074711321,0,3.15935929935658,4.35340767071712,1.08782544588047
Phonolite,57.9682555219012,0.632165739376022,20.1551267129985,0.0148050117888271,3.62931091641632,2.39355829190978,0.779429075605343,0.202866099568396,0.0102134498938658,6.23286354210529,7.82430384181354,0.157101796622899
Phonolitic-Tephrite,50.1087486547068,1.76878589287179,16.792322585461,0.0142958846729272,8.37612089257926,8.07770804312545,4.92336793351118,0.177147037363646,0.00880421746608921,4.79786383368182,4.12349734654253,0.831337678017487
Picrite,46.9041500873748,1.71116640382265,10.01707328069,0.166686091194989,11.7532808233921,9.16322654036104,17.110440488974,0.183081346911439,0.591366528196075,0.655058383591278,1.48466249774846,0.259807527743146
Tephrite,46.9147136218656,2.48364067938091,15.6704014791209,0.0335393002699412,10.4121383483649,10.0840877964226,6.44664210791861,0.231427033121663,0.0206891448331834,3.10120686397043,3.76012182499975,0.841391799731505
Tephritic-Phonolite,53.6003196506917,1.07381108241176,18.5495300016501,0.0102483108726433,6.00344046893455,6.31304303672894,2.71754222987318,0.161005040738837,0,6.46618683327835,4.55072753380955,0.55414581101035
Trachyandesite,59.4985830345605,1.1377563482181,16.7103264188862,0.00833017013225312,6.2809716544632,5.02017211000837,2.8221371387457,0.149420982263123,0.00483946717327438,3.60306693981924,4.32360063608251,0.440795099647556
Trachyte,63.2193112506132,0.645132059466179,17.1034733587449,0.00585710938872395,4.43664500520698,2.15471651279965,0.83446081652634,0.16592554067841,0.0712031961999205,5.55387354983295,5.62312743818441,0.186274162358323
Basaltic-Andesite,55.1886789955757,1.09501553695682,16.8809633502709,0.0202712097005008,8.64947125527993,8.22369287886593,4.96440385647986,0.169076416826328,0.00823886636543827,1.28964199770892,3.24847356169043,0.262072074279254
Dacite,67.0110748299746,0.63045761289848,15.711047390286,0.00659664098803256,4.34833273868706,3.81710053491704,1.67274969043089,0.100344057887761,0.00439513770284344,2.59710025672748,3.9184739885656,0.182327120934248
Gabbro,49.678899252986,1.47574160855204,16.047183711884,0.10176892005547,10.3665742256465,10.4964995690206,7.93316856906849,0.19622121918622,0.05392320847737,0.878914916723969,2.5059882224429,0.265116575956432
Andesite,60.1012681246988,0.851244769831638,16.892410764588,0.0956018459919766,6.48939006928882,6.30002391948853,3.42291962769782,0.150906689609817,0.0225675462514724,1.81380206284259,3.62619570936591,0.233668870344618
Rhyolite,75.0048970583177,0.291152124366482,13.3555730751956,0.0687685965876299,1.76699907104081,1.18183522578855,0.431730339423071,0.0717367772440166,0.00476593186565858,4.30826017516086,3.43997192390082,0.0743097011087722
